run,steps,collisions,intimate,close intimate,person,social,public
715,214,0,0,0,0,272,7416
716,340,0,0,0,0,679,10495
717,421,0,0,0,19,1605,11167
718,214,0,0,0,0,16,9716
719,318,0,0,0,0,2444,11026
720,212,0,0,0,0,722,5060
721,236,0,0,0,0,983,8411
722,465,0,0,11,386,1256,10709
723,397,0,0,9,176,1665,9687
724,491,0,0,59,1185,2833,5766
725,491,0,0,28,426,1485,10730
726,212,0,0,0,0,53,8973
727,275,0,0,0,128,886,10136
728,277,0,0,0,0,943,12291
729,214,0,0,0,0,106,8026
730,213,0,0,0,0,362,9022
731,364,0,0,0,41,2514,13701
732,333,0,0,0,0,1381,9877
733,224,0,0,0,0,597,8081
734,621,0,0,39,437,2620,5408
735,372,0,0,0,0,1799,11470
736,333,0,0,0,0,521,13438
737,215,0,0,0,0,197,8965
738,290,0,0,0,61,1195,9855
739,376,0,0,0,0,1601,10947
740,213,0,0,0,0,128,6859
741,311,0,0,0,0,855,13982
742,466,0,0,0,66,3375,14494
743,279,0,0,0,0,637,8428
744,479,0,0,0,0,1314,14292
745,213,0,0,0,0,0,9172
746,281,0,0,0,0,871,10396
747,304,0,0,0,0,1023,8592
748,212,0,0,0,0,55,6012
749,325,0,0,23,332,1634,12777
750,364,0,0,0,0,1095,12172
751,326,0,0,0,38,885,13121
752,240,0,0,0,55,1211,6010
753,482,0,0,0,345,2378,10771
754,213,0,0,0,0,0,9693
755,213,0,0,0,0,81,7432
756,216,0,0,0,0,469,8532
757,212,0,0,0,0,0,9152
758,474,0,0,0,0,1814,11367
759,214,0,0,0,0,74,7662
760,213,0,0,0,0,55,7992
761,271,0,0,0,0,1218,6174
762,375,0,0,0,230,1944,10847
763,213,0,0,0,0,0,4737
764,339,0,0,0,0,688,9400
765,310,0,0,0,0,551,8918
766,232,0,0,0,1,264,8057
767,213,0,0,0,0,343,7882
768,214,0,0,0,0,0,7751
769,263,0,0,0,0,450,10848
770,254,0,0,0,0,593,7214
771,212,0,0,0,0,0,5705
772,212,0,0,0,0,0,8838
773,214,0,0,0,11,401,7064
774,250,0,0,0,0,930,9147
775,212,0,0,0,0,0,7674
776,245,0,0,0,0,623,9575
777,380,0,0,0,288,1525,8225
778,251,0,0,0,0,1227,6118
779,509,0,2,99,573,2598,11247
780,212,0,0,0,0,0,10433
781,463,0,0,0,0,1474,15132
782,557,0,0,106,1304,3618,12095
783,229,0,0,0,0,653,8152
784,337,0,0,1,302,1568,14322
785,213,0,0,0,0,0,8795
786,341,0,0,5,201,1975,12486
787,292,0,0,0,0,775,10013
788,214,0,0,0,0,251,10033
789,326,0,0,0,0,1127,12231
790,325,0,0,39,416,1748,14018
791,222,0,0,0,0,320,10273
792,365,0,0,0,12,1341,8747
793,213,0,0,0,0,185,9210
794,217,0,0,0,0,225,9074
795,279,0,0,0,0,497,10403
796,253,0,0,0,52,248,6952
797,459,0,0,107,902,3095,9953
798,414,0,0,0,0,2108,11186
799,423,0,0,0,0,1844,10246
800,331,0,0,0,0,569,14943
